  0.2162812  0.2373612  0.2601912  0.2848912  0.3115712  0.3403812    0  
  0.3714412  0.4049012  0.4409012  0.4795912  0.5211412  0.5657212    1  
  0.6134912  0.6646312  0.7193312  0.7777712  0.8401612  0.9067012    1  
  0.9776012  0.1053111  0.1133311  0.1218611  0.1309011  0.1405011    0  
  0.1506611  0.1614211  0.1727911  0.1848011  0.1974811  0.2108411    1  
  0.2249111  0.2397111  0.2552611  0.2715911  0.2887111  0.3066411    0  
  0.3254111  0.3450111  0.3654811  0.3868211  0.4090411  0.4321411    0  
  0.4561311  0.4810211  0.5068011  0.5334511  0.5609911  0.5893711    0  
  0.6186011  0.6486511  0.6794911  0.7110811  0.7433911  0.7763911    1  
  0.8100111  0.8442211  0.8789411  0.9141411  0.9497211  0.9856411    0      
  0.1021810  0.1058110  0.1094610  0.1131010  0.1167410  0.1203510    1      
  0.1239410  0.1275010  0.1310110  0.1344610  0.1378410  0.1411510    1  
  0.1443710  0.1474910  0.1505010  0.1534010  0.1561710  0.1588010    0  
  0.1612910  0.1636210  0.1657910  0.1677810  0.1695910  0.1712110    1  
  0.1726410  0.1738610  0.1748810  0.1756810  0.1762610  0.1766210    0  
  0.1767510  0.1766610  0.1763310  0.1757810  0.1749910  0.1739810    0  
  0.1727410  0.1712810  0.1695910  0.1676910  0.1655910  0.1632710    0  
  0.1607710  0.1580710  0.1552010  0.1521610  0.1489610  0.1456210    1  
  0.1421410  0.1385310  0.1348210  0.1310010  0.1271010  0.1231310    0      
  0.1190910  0.1150110  0.1109010  0.1067610  0.1026210  0.9847611    1      
  0.9435211  0.9025511  0.8619611  0.8218611  0.7823511  0.7435211    1  
  0.7054511  0.6682211  0.6319111  0.5965711  0.5622711  0.5290411    0  
  0.4969511  0.4660111  0.4362611  0.4077111  0.3803811  0.3542811    1  
  0.3294011  0.3057511  0.2833111  0.2620611  0.2419911  0.2230711    0  
  0.2052811  0.1885811  0.1729311  0.1583211  0.1446811  0.1320011    0  
  0.2430812  0.2666912  0.2922412  0.3198712  0.3497012  0.3818812    0  
  0.4165512  0.4538712  0.4940012  0.5370912  0.5833312  0.6328812    1  
  0.6859412  0.7426912  0.8033312  0.8680612  0.9370912  0.1010611    0      
  0.1088911  0.1172111  0.1260611  0.1354411  0.1453911  0.1559211    1      
  0.1670711  0.1788611  0.1913111  0.2044411  0.2182911  0.2328711    1  
  0.2482111  0.2643311  0.2812611  0.2990111  0.3176111  0.3370711    0  
  0.3574211  0.3786711  0.4008311  0.4239311  0.4479611  0.4729311    1  
  0.4988611  0.5257311  0.5535511  0.5823111  0.6120011  0.6426111    0  
  0.6741111  0.7064911  0.7397111  0.7737411  0.8085411  0.8440611    0  
